Ticket type,Ticket no,User name,Issued,Order,Order #,Ticket id,Avatar filename,QR profile filename,QR feedback filename,Name,Twitter,Serial code,Sponsor logo,checked_in,Ticket url,インボイス対応について,参加のためには別途チケットをご購入ください,応援団の Web サイト表示について,返金対応はいたしかねます,その他コメント欄
"ラーメンを応援します","V-56","furufuru","2024/07/04 9:42","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-56.png","qr-feedback-ラーメンを応援します-V-56.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/mRMqAH2uOUZOQAyvDAjQfXRsAxtWYLzn","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","あまたの技術な具材をトロトロに煮込んだ濃厚スープでつくられた🍜を地域や次世代に振る舞う謀略(ロマン)を支援いたします！
運営勇者および参加者に乾丼！（杯でなく）"
"ラーメンを応援します","V-57","gishi-yama","2024/07/04 15:32","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-57.png","qr-feedback-ラーメンを応援します-V-57.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/KDd3dVHQRtNuhoQ14AOIm3YicuOFhltq","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","応援しています！"
"ラーメンを応援します","V-58","matsuoatsushi","2024/07/06 17:51","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-58.png","qr-feedback-ラーメンを応援します-V-58.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/yZgJG6H02IVdlGycB5guZNhwXTM5k98f","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-59","chiroruxx","2024/07/07 16:37","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-59.png","qr-feedback-ラーメンを応援します-V-59.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/hWtPCO7P6Y2DhL2abCnV8BsXnUSRsnnF","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-60","chiroruxx","2024/07/07 16:39","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-60.png","qr-feedback-ラーメンを応援します-V-60.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/38NOdRla2ZigwhcIApvL0fKDpItcMdwC","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-61","n13u","2024/07/08 22:42","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-61.png","qr-feedback-ラーメンを応援します-V-61.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/6UVY9FI1XQOdHe9RprHd7MEevjgh6U5y","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-62","akase244","2024/07/09 0:41","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-62.png","qr-feedback-ラーメンを応援します-V-62.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/6648QqEQF3vZxCgcVuRfyPqXD2Lw9z56","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-63","akase244","2024/07/09 0:46","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-63.png","qr-feedback-ラーメンを応援します-V-63.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/rFfMBhmIeXOZDi0j00OipQzrNe935z0I","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-64","Osanai","2024/07/09 7:52","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-64.png","qr-feedback-ラーメンを応援します-V-64.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/cOjFWRSeoWYwTOdKrbkgsNad5TnfNVDR","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-65","pyama86","2024/07/09 16:39","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-65.png","qr-feedback-ラーメンを応援します-V-65.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/KiH4lAt8EzBPF4p163YRP90ua4nsoVz2","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","応援しています！！！１"
